Lote,Fecha Compra,Proveedor,Producto,Categoría,Cantidad,Unidad,Precio Unitario,Valor Total
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Colador de café","activos",2,"Unidad",2950,5900
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Combo mesa y sillas","activos",1,"Unidad",350000,350000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Copa Desechable Pequeña","desechables",1,"Pack",8000,8000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Copa coctel margarita","activos",5,"Unidad",9000,45000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Copas shot x12","activos",1,"Set",32000,32000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Coñac Domecq","licores para shots",0.15,"Botella",15000,2250
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Cucharilla larga","activos",1,"Unidad",2500,2500
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Cuchillos x3","activos",1,"Set",12000,12000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Desodorante Speed Stick Ultra Gel","productos de limpieza",1,"Unidad",34600,34600
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Domos para tortas","activos",2,"Unidad",135000,270000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Encendedor para velas","activos",1,"Unidad",6000,6000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Escoba","productos de limpieza",1,"Unidad",10000,10000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Exprimidor metálico","activos",1,"Unidad",16000,16000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Ganchos sujetadores","activos",1,"Unidad",8000,8000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Hielo bolsa","siropes y bases",2,"Bolsa",12000,24000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Jabón de loza","productos de limpieza",1,"Unidad",5000,5000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","José Cuervo Tequila","licores para shots",0.25,"Botella",110000,27500
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Letrero luminoso","activos",1,"Unidad",500000,500000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Limpión microfibra carros","productos de limpieza",1,"Unidad",4200,4200
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Mesa Rimax","activos",1,"Unidad",100000,100000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Mug Bourbon Nashville Café","activos",3,"Unidad",3966.67,11900
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Nevera usada","activos",1,"Unidad",1000000,1000000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Palillos","desechables",1,"Pack",2100,2100
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Papel toalla Scott","productos de limpieza",1,"Rollo",16000,16000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Papelera / Basurero negra","activos",1,"Unidad",32500,32500
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Parlante HK Onyx 2","activos",1,"Unidad",700000,700000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Pocillo café semi liso","activos",3,"Unidad",3900,11700
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Prensa francesa","activos",2,"Unidad",20000,40000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Recogedor","productos de limpieza",1,"Unidad",10000,10000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Servilletas","desechables",2,"Paquete",6000,12000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Sirope arándanos","siropes y bases",1,"Botella",20000,20000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Syrup Finest Call Blue Curacao","siropes y bases",1,"Botella",33300,33300
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Tabla para picar","activos",1,"Unidad",600000,600000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Tajín","siropes y bases",1,"Unidad",5700,5700
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Tapa para Vaso","desechables",1,"Pack",4600,4600
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Tequila 1800","licores para shots",0.4,"Botella",240000,96000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Termo café","activos",1,"Unidad",40000,40000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Tijera","activos",1,"Unidad",10000,10000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Trapeador","productos de limpieza",1,"Unidad",10000,10000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Vaso Moscow Mule","activos",6,"Unidad",35000,210000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Vaso de Icopor","desechables",1,"Pack",6000,6000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Vaso de Papel","desechables",1,"Pack",5500,5500
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Vaso tinto","activos",3,"Unidad",3666.67,11000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Vasos cerveza grande","activos",6,"Unidad",5000,30000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Vasos cerveza pequeño","activos",6,"Unidad",4000,24000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Vasos plásticos para vino","activos",6,"Unidad",7000,42000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Velas x12","activos",1,"Set",7000,7000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Whisky Old Par","licores para shots",0.25,"Botella",250000,62500
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Whisky Something Special","licores para shots",0.3,"Botella",180000,54000
"PROVEEDORNOE-20241229-001","2024-12-29","Proveedor no especificado","Aperitivo Campari Milano","licores",1,"Botella",121900,121900
"PROVEEDORNOE-20241229-001","2024-12-29","Proveedor no especificado","Club Colombia Trigo","licores",2,"Lata",3648.33,7296.67
"PROVEEDORNOE-20241229-001","2024-12-29","Proveedor no especificado","Four Loko","licores",2,"Lata",15000,30000
"PROVEEDORNOE-20241229-001","2024-12-29","Proveedor no especificado","Ginebra Gordon's","licores para shots",1,"Botella",78600,78600
"PROVEEDORNOE-20241229-001","2024-12-29","Proveedor no especificado","Poker latas","licores",82,"Lata",2666.67,218666.67
"PROVEEDORNOE-20241229-001","2024-12-29","Proveedor no especificado","Poker latones","licores",24,"Latón",3333.33,80000
"PROVEEDORNOE-20241229-001","2024-12-29","Proveedor no especificado","Smirnoff Tamarindo","licores",2,"Botella",54750,109500
"PROVEEDORNOE-20241229-001","2024-12-29","Proveedor no especificado","Tequila Olmeca Blanco","licores para shots",1,"Botella",81500,81500
"PROVEEDORNOE-20241229-001","2024-12-29","Proveedor no especificado","Vino Cruzares","licores",1,"Botella",20000,20000
"PROVEEDORNOE-20241229-001","2024-12-29","Proveedor no especificado","Vino Santa Elena","licores",2,"Botella",66900,133800
"PROVEEDORNOE-20241229-001","2024-12-29","Proveedor no especificado","Vino tinto Cata Vieja","licores",2,"Botella",22900,45800
"PROVEEDORNOE-20241229-001","2024-12-29","Proveedor no especificado","Vodka Moskovskaya","licores para shots",1,"Botella",58800,58800
"PROVEEDORNOE-20241229-001","2024-12-29","Proveedor no especificado","Whisky Duggan's Dew","licores",1,"Botella",48000,48000
"PROVEEDORNOE-20241229-001","2024-12-29","Proveedor no especificado","Águila lata","licores",6,"Lata",3500,21000
"PROVEEDORNOE-20241229-001","2024-12-29","Proveedor no especificado","Águila latón","licores",3,"Latón",4000,12000
"PROVEEDORNOE-20250103-001","2025-01-03","Proveedor no especificado","Leche Alquería semidescremada","insumos para café",1,"Bolsa",6000,6000
"PROVEEDORNOE-20250103-001","2025-01-03","Proveedor no especificado","Papel Higiénico","productos de limpieza",1,"Unidad",2400,2400
"Sin Lote","2026-01-17","Dr. Pablo","Cerveza Budweiser","cerveza",3,"unidad",5000,15000
"Sin Lote","2026-01-17","Dr. Pablo","Cerveza Budweiser","cerveza",3,"unidad",5000,15000
"Sin Lote","2026-01-17","Dr. Pablo","Cerveza Heineken","cerveza",6,"unidad",5000,30000
"Sin Lote","2026-01-17","Dr. Pablo","Cerveza Poker 330cm3","cerveza",3,"unidad",4500,13500
