id,nombre,categoria,cantidad,unidad,precio_unitario,valor_total,fecha_compra,lote,proveedor
inv-1767845374827-mp9ajpdr1,Pollo frito,acompañantes,1,Unidad,34000,34000,2026-01-05,LAMERCED-20260105-001,La Merced
inv-1767640832359-kawr591vu,Bebida chocolate polvo,siropes y bases,1,Unidad,16100,16100,2026-01-04,EXITO-20260104-001,Éxito
inv-1767636242811-qk3zfsenm,Cubiertos,activos,1,Set,13000,13000,2026-01-04,EXITO-20260104-001,Éxito
inv-1767636242811-2w87n78co,Jugo de arándano,siropes y bases,1,Botella,28900,28900,2026-01-04,EXITO-20260104-001,Éxito
inv-1767636242767-v0twstdbw,Soda Bretaña,siropes y bases,36,Unidad,444.44,16000,2026-01-04,EXITO-20260104-001,Éxito
inv-1767634700400-h1p7laomc,Arándanos,insumos para café,1,Unidad,25980,25980,2026-01-03,PATY-20260103-001,Patty
inv-1767634700400-65n1g60sp,Baguette CUI,insumos para café,1,Unidad,12500,12500,2026-01-03,PATY-20260103-001,Patty
inv-1767634700400-2hfwyexd7,Bolsa plástica (ICBP),desechables,1,Unidad,70,70,2026-01-03,PATY-20260103-001,Patty
inv-1767634700400-tu01b5e2p,Caja de Carioca grande 380 ml,desechables,2,Unidad,115000,230000,2026-01-03,PATY-20260103-001,Patty
inv-1767634700399-hntpkqdo6,Cerveza Budweiser,licores para shots,4,Botella,18000,72000,2026-01-03,PATY-20260103-001,Patty
inv-1767634700399-whk5cc1js,Cerveza Coronita,licores para shots,1,Botella,22200,22200,2026-01-03,PATY-20260103-001,Patty
inv-1767634700399-9xsb2oh3p,Cerveza Heineken,licores para shots,1,Botella,19200,19200,2026-01-03,PATY-20260103-001,Patty
inv-1767634700399-icch1p0gx,Cinta aislante Tesa,productos de limpieza,2,Unidad,3800,7600,2026-01-03,PATY-20260103-001,Patty
inv-1767844108813-9e4nr33nk,Cinta aislante Tesa colores 10 m,activos / insumos de mantenimiento,1,Unidad,3800,3800,2026-01-03,PATY-20260103-001,Patty
inv-1767634700400-2senehds1,Festival palillos doble,acompañantes,2,Paquete,2100,4200,2026-01-03,PATY-20260103-001,Patty
inv-1767844108814-9re65nu9v,Festival palillos doble punta x 180 uds,desechables,1,Unidad,2100,2100,2026-01-03,PATY-20260103-001,Patty
inv-1767634700400-s8kbeya60,Jamón Cuisine,insumos para café,1,Unidad,19990,19990,2026-01-03,PATY-20260103-001,Patty
inv-1767634700400-460nmc7uo,Lechuga batavia,insumos para café,1,Unidad,2084,2084,2026-01-03,PATY-20260103-001,Patty
inv-1767635982972-854kbkj9i,Marlboro morado azul x20,productos regulados,4,Cajetilla,14400,57600,2026-01-03,PATY-20260103-001,Patty
inv-1767635982972-mphbtepu0,Marlboro rojo verde x20,productos regulados,5,Cajetilla,14400,72000,2026-01-03,PATY-20260103-001,Patty
inv-1767635982972-nhrn3uido,Marlboro rojo x20,productos regulados,1,Cajetilla,13700,13700,2026-01-03,PATY-20260103-001,Patty
inv-1767634700399-osyfaln0f,Mezcla de ají,siropes y bases,1,Unidad,5350,5350,2026-01-03,PATY-20260103-001,Patty
inv-1767634700399-dy0mgy06q,Mezclador El Sol Dahu ZZI,siropes y bases,2,Unidad,4900,9800,2026-01-03,PATY-20260103-001,Patty
inv-1767844108813-yg05w3ugy,Mezclador de bambú El Sol x 500 uds,desechables,1,Unidad,4900,4900,2026-01-03,PATY-20260103-001,Patty
inv-1767634700399-8808431pm,Mostaneza Rancho La Constancia,siropes y bases,2,Unidad,6900,13800,2026-01-03,PATY-20260103-001,Patty
inv-1767844108814-4wnraypxt,Mostaneza Rancho La Constancia 190 g,acompañantes,1,Unidad,6900,6900,2026-01-03,PATY-20260103-001,Patty
inv-1767483353901-kx2to8c6y,Ponqué Ramo,acompañantes,1,Unidad,18590,18590,2026-01-03,PATY-20260103-001,Patty
inv-1767634700399-318ocn17k,Queso Colanta,insumos para café,1,Unidad,11180,11180,2026-01-03,PATY-20260103-001,Patty
inv-1767634700399-fstqs8q7k,Ron Viejo de Caldas Tradicional,licores,2,Botella,51900,103800,2026-01-03,PATY-20260103-001,Patty
inv-1767844108814-5wz9kud65,Ron Viejo de Caldas Tradicional 750 ml,licores,1,Botella,51900,51900,2026-01-03,PATY-20260103-001,Patty
inv-1767634700400-s86bj4aqm,Sal Refisal,acompañantes,1,Unidad,15790,15790,2026-01-03,PATY-20260103-001,Patty
inv-1767844108813-pqa0643eh,Salsa de tomate Bary Doy Pack 200 g,acompañantes,1,Unidad,4100,4100,2026-01-03,PATY-20260103-001,Patty
inv-1767634700399-ngrq41q4f,Salsa de tomate Bary doy pack,siropes y bases,2,Pack,4100,8200,2026-01-03,PATY-20260103-001,Patty
inv-1767844108813-yubsxus1l,Salsa mayonesa Bary Doy Pack 200 g,acompañantes,1,Unidad,4100,4100,2026-01-03,PATY-20260103-001,Patty
inv-1767634700399-pir59pq4u,Salsa mayonesa Bary doy pack,siropes y bases,2,Pack,4400,8800,2026-01-03,PATY-20260103-001,Patty
inv-1767634700399-cahjyh3ll,Soda Bretaña 1500 ml,siropes y bases,4,Botella,3800,15200,2026-01-03,PATY-20260103-001,Patty
inv-1767634700400-6hudp47h6,Tapas para vaso 6 oz,desechables,1,Pack,4600,4600,2026-01-03,PATY-20260103-001,Patty
inv-1767635982971-dq62lbug6,Tapas para vaso 6 oz bebida caliente,desechables,1,Pack,4600,4600,2026-01-03,PATY-20260103-001,Patty
inv-1767844108772-y02sds3pn,Toalla higiénica Kotex tela antibacter,productos de limpieza / bioseguridad,1,Unidad,3950,3950,2026-01-03,PATY-20260103-001,Patty
inv-1767634700399-sxq8dp6sg,Toallas higiénicas Kotex x10,productos de limpieza,2,Paquete,3950,7900,2026-01-03,PATY-20260103-001,Patty
inv-1767634700400-ffm5kdp8o,Tomate chonto,insumos para café,1,Unidad,2668,2668,2026-01-03,PATY-20260103-001,Patty
inv-1767844880780-ii3oc94rz,Arándanos,acompañantes,1,Unidad,11700,11700,2025-12-27,JUMBO-20251227-001,Jumbo
inv-1767844879264-64oilkpaa,Baguette Cuisine & Co,acompañantes,2,Unidad,12900,25800,2025-12-27,JUMBO-20251227-001,Jumbo
inv-1767844879665-lqk1aybfl,Bolsa plástica,desechables,1,Unidad,60,60,2025-12-27,JUMBO-20251227-001,Jumbo
inv-1767844769205-5ywzp24pl,Cerveza Budweiser lata,cervezas,1,Lata,5000,5000,2025-12-27,JUMBO-20251227-001,Jumbo
inv-1767844767667-bi0fxw2v1,Cerveza Heineken lata,cervezas,1,Lata,6450,6450,2025-12-27,JUMBO-20251227-001,Jumbo
inv-1767844767932-16ve3bbno,Gaseosa Coca-Cola 2.5L,acompañantes,1,Botella,15200,15200,2025-12-27,JUMBO-20251227-001,Jumbo
inv-1767844768402-5yhkew73j,Lechuga batavia (0.458 kg),acompañantes,1,Kilogramo,4580,4580,2025-12-27,JUMBO-20251227-001,Jumbo
inv-1767844880071-jkj72xv3l,Mezcla de ají,acompañantes,1,Unidad,3530,3530,2025-12-27,JUMBO-20251227-001,Jumbo
inv-1767844769020-qtl9kt1at,Pan Resplandor,acompañantes,1,Unidad,11500,11500,2025-12-27,JUMBO-20251227-001,Jumbo
inv-1767844880346-fl0zdabrc,Queso Colanta,acompañantes,1,Unidad,15900,15900,2025-12-27,JUMBO-20251227-001,Jumbo
inv-1767844768574-6ocvjq9wb,Tomate chonto (0.515 kg),acompañantes,1,Kilogramo,5180,5180,2025-12-27,JUMBO-20251227-001,Jumbo
inv-1767483353917-ser4dw1e8,Leche Alquería semidescremada,insumos para café,1,Bolsa,6000,6000,2025-01-03,PROVEEDORNOE-20250103-001,Proveedor no especificado
inv-1767483353924-kzrwa9a7p,Papel Higiénico,productos de limpieza,1,Unidad,2400,2400,2025-01-03,PROVEEDORNOE-20250103-001,Proveedor no especificado
inv-1767483353908-u55v6zs0u,Aperitivo Campari Milano,licores,1,Botella,121900,121900,2024-12-29,PROVEEDORNOE-20241229-001,Proveedor no especificado
inv-1767483353905-n6abubp0m,Club Colombia Trigo,licores,2,Lata,3648.33,7296.67,2024-12-29,PROVEEDORNOE-20241229-001,Proveedor no especificado
inv-1767483353905-rculqbs47,Four Loko,licores,2,Lata,15000,30000,2024-12-29,PROVEEDORNOE-20241229-001,Proveedor no especificado
inv-1767483353908-mr8nlyywm,Ginebra Gordon's,licores para shots,1,Botella,78600,78600,2024-12-29,PROVEEDORNOE-20241229-001,Proveedor no especificado
inv-1767483353905-q1dvhqyit,Poker latas,licores,82,Lata,2666.67,218666.67,2024-12-29,PROVEEDORNOE-20241229-001,Proveedor no especificado
inv-1767483353905-uqwddngmo,Poker latones,licores,24,Latón,3333.33,80000,2024-12-29,PROVEEDORNOE-20241229-001,Proveedor no especificado
inv-1767483353908-c1ooa4r20,Smirnoff Tamarindo,licores,2,Botella,54750,109500,2024-12-29,PROVEEDORNOE-20241229-001,Proveedor no especificado
inv-1767483353908-y9q9alloi,Tequila Olmeca Blanco,licores para shots,1,Botella,81500,81500,2024-12-29,PROVEEDORNOE-20241229-001,Proveedor no especificado
inv-1767483353908-gmu0i0sa7,Vino Cruzares,licores,1,Botella,20000,20000,2024-12-29,PROVEEDORNOE-20241229-001,Proveedor no especificado
inv-1767483353908-gqfhutm09,Vino Santa Elena,licores,2,Botella,66900,133800,2024-12-29,PROVEEDORNOE-20241229-001,Proveedor no especificado
inv-1767483353908-yecytqq00,Vino tinto Cata Vieja,licores,2,Botella,22900,45800,2024-12-29,PROVEEDORNOE-20241229-001,Proveedor no especificado
inv-1767483353908-dlloi6yve,Vodka Moskovskaya,licores para shots,1,Botella,58800,58800,2024-12-29,PROVEEDORNOE-20241229-001,Proveedor no especificado
inv-1767483353908-y3b53io8x,Whisky Duggan's Dew,licores,1,Botella,48000,48000,2024-12-29,PROVEEDORNOE-20241229-001,Proveedor no especificado
inv-1767483353905-sje33kukt,Águila lata,licores,6,Lata,3500,21000,2024-12-29,PROVEEDORNOE-20241229-001,Proveedor no especificado
inv-1767483353905-uteot8kax,Águila latón,licores,3,Latón,4000,12000,2024-12-29,PROVEEDORNOE-20241229-001,Proveedor no especificado
inv-1767483353908-agu-est,Aguardiente,licores para shots,1,Botella,51900,51900,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353908-agu-nar,Aguardiente Nariño,licores para shots,3,Botella,51900,155700,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353926-wdcg82vjf,Aromáticas,insumos para café,1,Unidad,4000,4000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353926-tgjwb0599,Azúcar,insumos para café,1,Bolsa,5000,5000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353913-hjd3452mp,Base cóctel Brissart granadina,siropes y bases,1,Botella,25200,25200,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353913-r7pklcu5h,Base cóctel Brissart maracuyá,siropes y bases,1,Botella,25200,25200,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353913-jb8887h9r,Base cóctel Finest Call Triple Sec,siropes y bases,1,Botella,33300,33300,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353926-i7v18gj8j,Bolsa para colar café,insumos para café,2,Unidad,5900,11800,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353921-5f90elhbh,Bombillo Philips 5.5W,activos,1,Unidad,2950,2950,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353913-ttz27x8mn,Bretaña,siropes y bases,1,Botella,5000,5000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353913-kkkqg7bwc,Bretaña personal x6,siropes y bases,1,Paquete,12000,12000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353922-nsw7b21rh,Cafetera moka,activos,1,Unidad,30000,30000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353926-6ynvm45dt,Café Instantáneo,insumos para café,1,Frasco,11000,11000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353925-pg25jxttu,Café Sello Rojo,insumos para café,2,Paquete,16000,32000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353927-pnyzk4zys,Caja de Icopor,desechables,1,Pack,13000,13000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353922-yn99umkho,Caja de madera,activos,1,Unidad,14000,14000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353922-18gprsfx1,Cenicero,activos,1,Unidad,100000,100000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353908-cha-art,Chapil artesanal,licores para shots,0.3,Botella,10000,3000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353921-dwks9mhx0,Colador de café,activos,2,Unidad,2950,5900,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353921-heejtdc7k,Combo mesa y sillas,activos,1,Unidad,350000,350000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353927-set8m797g,Copa Desechable Pequeña,desechables,1,Pack,8000,8000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353921-24prmoz3t,Copa coctel margarita,activos,5,Unidad,9000,45000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353922-rw7y8iafe,Copas shot x12,activos,1,Set,32000,32000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353908-con-dom,Coñac Domecq,licores para shots,0.15,Botella,15000,2250,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353921-a1032pils,Cucharilla larga,activos,1,Unidad,2500,2500,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353922-s7hrvd8qf,Cuchillos x3,activos,1,Set,12000,12000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353924-efb85j7pj,Desodorante Speed Stick Ultra Gel,productos de limpieza,1,Unidad,34600,34600,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353921-0k33w9jh5,Domos para tortas,activos,2,Unidad,135000,270000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353922-ikhc4vyhq,Encendedor para velas,activos,1,Unidad,6000,6000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353924-uubm2bavd,Escoba,productos de limpieza,1,Unidad,10000,10000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353922-j063f9gib,Exprimidor metálico,activos,1,Unidad,16000,16000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353922-qqq2lpoo0,Ganchos sujetadores,activos,1,Unidad,8000,8000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353913-1889mnu82,Hielo bolsa,siropes y bases,2,Bolsa,12000,24000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353924-6uvxurwqu,Jabón de loza,productos de limpieza,1,Unidad,5000,5000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353908-teq-jc,José Cuervo Tequila,licores para shots,0.25,Botella,110000,27500,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353922-q3qmv2vcv,Letrero luminoso,activos,1,Unidad,500000,500000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353924-3w6k0hshd,Limpión microfibra carros,productos de limpieza,1,Unidad,4200,4200,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353922-5h0n8o5j0,Mesa Rimax,activos,1,Unidad,100000,100000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353921-cjvtdvidh,Mug Bourbon Nashville Café,activos,3,Unidad,3966.67,11900,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353921-jeaol1ls8,Nevera usada,activos,1,Unidad,1000000,1000000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353927-mfm31g7cv,Palillos,desechables,1,Pack,2100,2100,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353924-64dp267fv,Papel toalla Scott,productos de limpieza,1,Rollo,16000,16000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353921-u5qggrpko,Papelera / Basurero negra,activos,1,Unidad,32500,32500,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353921-3dj8riyht,Parlante HK Onyx 2,activos,1,Unidad,700000,700000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353921-xiwz9ce3l,Pocillo café semi liso,activos,3,Unidad,3900,11700,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353921-gq1yk5z5x,Prensa francesa,activos,2,Unidad,20000,40000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353924-fiy9i5pzj,Recogedor,productos de limpieza,1,Unidad,10000,10000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353924-qfyuq638h,Servilletas,desechables,2,Paquete,6000,12000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353913-4i345h1fq,Sirope arándanos,siropes y bases,1,Botella,20000,20000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353913-qr9j8fm77,Syrup Finest Call Blue Curacao,siropes y bases,1,Botella,33300,33300,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353922-9gphugxoi,Tabla para picar,activos,1,Unidad,600000,600000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353913-8vb41ck7n,Tajín,siropes y bases,1,Unidad,5700,5700,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353927-9qciixvtf,Tapa para Vaso,desechables,1,Pack,4600,4600,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353908-teq-1800,Tequila 1800,licores para shots,0.4,Botella,240000,96000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353921-ufr8l4s5s,Termo café,activos,1,Unidad,40000,40000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353922-vtavwaccv,Tijera,activos,1,Unidad,10000,10000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353924-vvzbksqce,Trapeador,productos de limpieza,1,Unidad,10000,10000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353921-6vsarl10x,Vaso Moscow Mule,activos,6,Unidad,35000,210000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353927-jqtkdgrno,Vaso de Icopor,desechables,1,Pack,6000,6000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353927-xxcwuqi28,Vaso de Papel,desechables,1,Pack,5500,5500,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353921-vgarot6ts,Vaso tinto,activos,3,Unidad,3666.67,11000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353921-mgo7govsz,Vasos cerveza grande,activos,6,Unidad,5000,30000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353921-wd3u0uxxd,Vasos cerveza pequeño,activos,6,Unidad,4000,24000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353921-qi0havlkm,Vasos plásticos para vino,activos,6,Unidad,7000,42000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353922-f1f60u9ca,Velas x12,activos,1,Set,7000,7000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353908-whi-op,Whisky Old Par,licores para shots,0.25,Botella,250000,62500,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
inv-1767483353908-whi-ss,Whisky Something Special,licores para shots,0.3,Botella,180000,54000,2024-12-01,PROVEEDORNOE-20241201-001,Proveedor no especificado
